X,Y,OBJECTID,Name,Type
16831143.3031663,-4015337.03129485,1,McKell Playground B,Playground
16828941.9628267,-4012747.06475476,2,Minogue Crescent Reserve Playground,Playground
16829465.5068703,-4013220.98153267,3,May Pitt Playground,Playground
16831702.1494694,-4009605.11535751,4,Clyne Reserve Playground,Playground
16833091.0048558,-4013472.5378768,5,Shannon Reserve Playground,Playground
16832773.6571392,-4014464.43891681,6,Marriott Street Reserve Playground,Playground
16831845.3384919,-4014050.40976492,7,Reconciliation Park Playground,Playground
16833890.041624,-4011500.89414459,8,Woolloomooloo Playground,Playground
16832401.5125674,-4016109.15101198,9,Mary O'Brien Reserve Playground,Playground
16833928.7742932,-4012762.20881638,10,Lacrozia Playground,Playground
16829441.5307072,-4012907.88574466,11,Ross Street Playground,Playground
16833303.5369297,-4012442.95958602,12,Albert Sloss Reserve Playground,Playground
16831945.6905142,-4014905.40240697,13,Douglas Street Playground ,Playground
16830876.2694071,-4012529.41407006,14,Wentworth Park Playground,Playground
16829554.1103174,-4016564.73587637,15,Sydney Park Playground,Playground
16829655.0911274,-4015211.16644208,16,Pinkstone Playground,Playground
16830633.7509059,-4010734.15927829,17,Pirrama Park Playground,Playground
16832128.6786126,-4009656.94252047,18,Pottinger Park ( West) The Paddock Playground,Playground
16829503.4803572,-4015679.61830741,19,Rochford Street Playground,Playground
16829869.5070934,-4015071.29980329,20,Burren Street Playground,Playground
16832710.0990128,-4018022.89436154,21,Bannerman Crescent Reserve Fitness Station,Fitness station
16834793.9669944,-4011433.19119925,22,Beare Park Playground,Playground
16830691.8896373,-4015864.20178747,23,Bowden Playground,Playground
16831109.0919138,-4015354.28636024,24,McKell Playground A,Playground
16830919.5931778,-4014284.08689314,25,Charles Kernan Reserve Playground,Playground
16833150.0886625,-4014478.35716231,26,Chelsea Street Playground,Playground
16831337.8631935,-4014738.18743421,27,Daniel Dawson Playground,Playground
16829980.5167363,-4012784.51631816,28,Dr H J Foley Rest Park Playground,Playground
16829265.2447863,-4011759.75388453,29,Jubilee Park Playground,Playground
16829712.4216825,-4011632.74871914,30,Blackwattle Bay Playground,Playground
16830690.5789265,-4012597.50316661,31,M J (Paddy) Dougherty Reserve Playground,Playground
16831049.7000381,-4012091.47813498,32,Fig Lane Park Playground,Playground
16834357.8203441,-4011687.96209554,33,Fitzroy Gardens Playground,Playground
16830649.1966058,-4013020.6048283,34,Robyn Kemmis Reserve Playground,Playground
16829522.5154167,-4014403.23839206,35,Goddard Playground,Playground
16829931.264032,-4014654.13893236,36,Hollis Park Playground,Playground
16832708.0593382,-4014552.16877512,37,Hansom Cab Place Playground,Playground
16830333.903205,-4015571.42993485,38,Harry Noble Reserve Playground,Playground
16830870.6530888,-4015263.73095484,39,Jack Shuttlesworth Reserve Playground,Playground
16832919.880776,-4012790.19155059,40,James Hilder Reserve Playground,Playground
16830815.8543859,-4010779.37413665,41,James Watkinson Reserve Playground,Playground
16832650.1151496,-4017574.09976467,42,Kimberly Grove Reserve Playground,Playground
16832219.7853875,-4010059.42279471,43,King George V Recreation Centre Playground,Playground
16829805.4374267,-4015933.96444898,44,Kirsova Playground #1,Playground
16829792.4101765,-4012474.16135204,45,Kirsova Playground #3,Playground
16829809.8095485,-4015566.33759426,46,Kirsova Playground #2,Playground
16830618.0706635,-4013126.83986367,47,Minogue Reserve Playground,Playground
16830502.7646193,-4012837.72826767,48,Glebe Street Playground,Playground
16834341.9866946,-4013645.46865963,49,Ethel Turner Park Playground,Playground
16832168.2206103,-4009929.46146607,50,Observatory Hill Fitness Station,Fitness station
16831122.9873799,-4013658.34331566,51,Peace Park Playground,Playground
16833198.3572698,-4011699.7541784,52,Cook & Phillip Park Playground A,Playground
16833079.9826324,-4014035.25685916,53,Edgley Street Reserve Playground,Playground
16829516.3374139,-4014583.63953835,54,MJ Hayes Playground,Playground
16831546.0373123,-4017277.88052828,55,Janet Beirne Reserve Playground,Playground
16829529.9262474,-4015108.18040096,56,Green Ban Park Playground,Playground
16829297.1621442,-4015380.85640787,57,Lillian Fowler Reserve Playground,Playground
16829190.9232746,-4011864.90118897,58,Hilda Booler Kindergarten Playground,Playground
16832168.117008,-4018086.27599001,59,Crete Reserve Playground,Playground
16831956.8510015,-4014699.1108459,60,Douglas Street People Park Playground,Playground
16832885.0171744,-4014822.90700949,61,Elizabeth McCrea Playground,Playground
16829974.4243111,-4012210.02475388,62,Ernest Pederson Reserve Playground,Playground
16829401.4823351,-4014637.08756074,63,Ernest Wright Playground,Playground
16830176.8997583,-4015325.53388539,64,Ethel Street Playground,Playground
16829114.4527549,-4013113.9624031,65,Wood Street Playground,Playground
16831242.3681675,-4012862.23999192,66,Wattle Lane Park Playground,Playground
16831999.0956273,-4015284.86180121,67,Waterloo Park & Mount Carmel Playground,Playground
16833266.7928924,-4013526.10929898,68,Fanny Place Playground,Playground
16834659.4104533,-4011991.02644364,69,Waratah Street Reserve Playground,Playground
16831165.8377647,-4013891.71273334,70,Vine Street Playground,Playground
16829381.5371575,-4015760.23818493,71,Union Street Playground,Playground
16832028.4144329,-4017891.52292441,72,Turruwul Park Playground,Playground
16832218.3183489,-4009741.79535091,73,Trinity Avenue Playground,Playground
16832606.6631827,-4016019.80815085,74,Tote Park Playground,Playground
16830404.6508031,-4012269.80274169,75,Thomas Portley Reserve Playground,Playground
16834063.5198242,-4012328.02232599,76,Surrey Street Playground,Playground
16831463.972737,-4013746.34213086,77,Strickland Park Playground,Playground
16829794.1648497,-4012692.63541344,78,St James Park Playground,Playground
16830106.8754182,-4012383.69676827,79,Sarah Peninton Reserve Playground,Playground
16830511.698963,-4015052.03863513,80,South Sydney Rotary Park 2 Fitness Station,Fitness station
16830760.2454103,-4014984.14490214,81,Eveleigh Early Learning and Preschool (previously known as Alexandria Child Care) ,Playground
16830263.6388276,-4012376.02251164,82,Broughton Street Kindergarten Playground,Playground
16828820.2731653,-4011847.02209542,83,Federal Park Playground,Playground
16828903.6759419,-4012033.68327501,84,Federal Park 1 Fitness Station,Fitness station
16832719.9647217,-4018022.93213034,85,Bannerman Crescent Reserve Playground,Playground
16831996.9541381,-4014274.030005,86,Redfern Occasional Care Centre,Playground
16830514.0408954,-4015361.01624135,87,Renwick Street Playground,Playground
16831124.4607422,-4013719.06635987,88,Chippendale Childcare Centre Playground,Playground
16833273.4587102,-4013731.46378518,89,Arthur Steet Reserve Playground,Playground
16831293.0087979,-4014114.3529314,90,Redfern Community Centre Playground,Playground
16830668.5109007,-4011090.02738112,91,Pyrmont Community Centre Playground,Playground
16831494.560062,-4016831.14126264,92,Beaconsfield Park Playground,Playground
16832823.4755931,-4013904.40241327,93,Eddie Ward Park Playground A,Playground
16832767.2240614,-4013842.78584718,94,Eddie Ward Park Playground B,Playground
16831895.1024152,-4013850.80555276,95,Prince Alfred Park Fitness Station B,Fitness station
16832124.9832373,-4013852.8068485,96,Prince Alfred Park Fitness Station C,Fitness station
16831833.6390667,-4013914.65946011,97,Prince Alfred Park Fitness Station D,Fitness station
16832056.5574293,-4013691.08288779,98,Prince Alfred Park Fitness Station E,Fitness station
16832120.4758885,-4013685.23090342,99,Prince Alfred Park Playground C,Playground
16832188.3328301,-4014501.73079128,100,Redfern Park Playground B,Playground
16830959.9011635,-4012538.69328229,101,Wentworth Park Fitness Station - Group B,Fitness station
16832095.8837505,-4013627.51493455,102,Prince Alfred Park Playground B,Playground
16832130.649192,-4014558.35365454,103,Redfern Park Playground A,Playground
16830867.7868459,-4012607.07033485,104,Wentworth Park Fitness Station - Group A,Fitness station
16830936.296232,-4012488.87471559,105,Wentworth Park Fitness Station - Group C,Fitness station
16830915.588903,-4012444.63055428,106,Wentworth Park Fitness Station - Group D,Fitness station
16829647.3644654,-4015945.54424765,107,Flora & Knight Sts Reserve Playground A,Playground
16829633.642401,-4015973.99470202,108,Flora & Knight Sts Reserve Playground B,Playground
16829602.8886815,-4015940.20827845,109,Flora & Knight Sts Reserve Playground C,Playground
16829642.836414,-4016009.49826806,110,Flora & Knight Sts Reserve Playground D,Playground
16830184.9698742,-4016636.64555602,111,Sydney Park Fitness Station Group B,Fitness station
16830193.6078711,-4016678.62345794,112,Sydney Park Fitness Station Group A,Fitness station
16830145.8223691,-4016650.94787913,113,Sydney Park Fitness Station Group C,Fitness station
16830730.0028684,-4013636.49586111,114,Victoria Park Playground,Playground
16830338.0381206,-4015087.96403957,115,South Sydney Rotary Park No1 Playground,Playground
16833051.8571584,-4015702.07109724,116,Wulaba Park Playground,Playground
16830522.9659451,-4017003.14643218,117,Huntley Street Early Learning Centre Playground,Playground
16832055.0425173,-4017116.67966663,118,Sweet Acres Playground,Playground
16832700.1273067,-4015648.48551106,119,The Rope Walk Playground,Playground
16831950.9168074,-4009835.18083501,120,Nita McCrae Park Playground,Playground
16828762.3699174,-4012074.482086,121,The Crescent Early Learning Centre Playground,Playground
16829206.7367187,-4012420.24569825,122,Harold Park Playground,Playground
16833136.3923784,-4015211.20972666,123,Corning Park Playground,Playground
16831914.0814158,-4018061.73430659,124,Turruwul Park Fitness Station,Fitness station
16832166.0557442,-4016573.83075749,125,Matron Ruby Grant Park Playground,Playground
16829689.4831113,-4015517.80420681,126,Joseph Sargeant Community Centre Playground,Playground
16832180.9632976,-4014926.7604864,127,KU James Cahill Preschool Playground,Playground
16833151.0609454,-4013597.5270294,128,KU John J Carroll Pre-School Playground,Playground
16831841.2200105,-4009977.38874986,129,KU Lance Preschool and Children's Centre Playground,Playground
16830745.9736242,-4011248.46307517,130,KU Maybanke Preschool Playground,Playground
16833159.8149209,-4011765.27317961,131,KU Phillip Park Children's Centre Playground,Playground
16834661.9879266,-4011965.37119356,132,KU Rushcutters Bay Playground,Playground
16830910.7024155,-4015122.9894911,133,KU Sunbeam Preschool Playground,Playground
16831103.5736602,-4012197.10518461,134,KU Ultimo Children's Centre Playground,Playground
16831252.7845617,-4012879.21581522,135,Magic Pudding Child Care Centre Playground,Playground
16831898.3220689,-4015186.62916614,137,SDN Lois Barker Child Care Centre Playground,Playground
16832846.920632,-4013603.00573454,138,SDN Surry Hills Child Care Centre Playground,Playground
16833037.3763834,-4013501.34610727,139,Surry Hills Library and Community Centre Playground,Playground
16832236.1161679,-4016525.76393229,140,Waranara Early Education Centre Playground,Playground
16833427.6410812,-4012356.42179802,141,Goodstart East Sydney Early Learning Centre Playground,Playground
16832174.8102807,-4013623.66165083,142,Prince Alfred Park Playground A,Playground
16831847.4543316,-4013831.74710661,143,Prince Alfred Park Fitness Station A,Fitness station
16832250.6674073,-4014730.15771351,144,Redfern Park Playground C,Playground
16833391.4111582,-4012319.82672519,145,Frances Newton Playground ,Playground
16832006.5565613,-4015331.31323857,146,Waterloo Park & Mount Carmel Fitness Station,Fitness station
16833562.3317755,-4011615.61804179,147,Bourke Street Park Fitness Station,Fitness station
16830630.3958831,-4010512.69380899,148,Pirrama Park Fitness Station,Fitness station
16832693.3711229,-4017121.00970045,149,Garraway Park Playground,Playground
16832693.9465468,-4017168.4330423,150,Garraway Park Fitness Station,Fitness station
16830588.1548361,-4015363.55762699,151,Dibbs Street Reserve Playground,Playground
16832452.6828987,-4016552.74697752,152,Gunyama Park Fitness Station ,Fitness station
16832890.5171182,-4012781.03771105,153,James Hilder Reserve Fitness Station,Fitness station
16833178.1833502,-4011728.99816602,154,Cook & Phillip Park Playground B,Playground
16833201.4794196,-4011740.49264686,155,Cook & Phillip Park Playground C,Playground
16829757.6917197,-4015307.9443291,156,Maureen Oliver Reserve Playground,Playground
16829132.2984552,-4013445.41215324,157,The Western Block Fitness Station,Fitness station
16832293.9065559,-4017246.03742655,557,Butterscotch Park Playground A,Playground
16832261.3575334,-4017256.77010184,558,Butterscotch Park Playground C,Playground
16832335.2955675,-4017254.9122097,559,Butterscotch Park Playground B,Playground
16832218.1349743,-4015977.89376797,960,906 Bourke Street (Hyperion Apartments Zetland),Playground
16832212.7191009,-4015946.19221096,961,906 Bourke Street (Hyperion Apartments Zetland),Playground
16833324.066487,-4014037.25378794,962,Wimbo Reserve Playground,Playground
