SAL_CODE21,SAL_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,SHAPE_Leng,SHAPE_Area
10002,Abbotsbury,1,New South Wales,AUS,Australia,4.9788,http://linked.data.gov.au/dataset/asgsed3/SAL/10002,0.12305058675,0.00048510161
10003,Abbotsford (NSW),1,New South Wales,AUS,Australia,1.018,http://linked.data.gov.au/dataset/asgsed3/SAL/10003,0.05342285936,9.915749e-05
10014,Acacia Gardens,1,New South Wales,AUS,Australia,1.0013,http://linked.data.gov.au/dataset/asgsed3/SAL/10014,0.044557845,9.740725e-05
10021,Agnes Banks,1,New South Wales,AUS,Australia,15.475,http://linked.data.gov.au/dataset/asgsed3/SAL/10021,0.21538347211,0.00150359463
10022,Airds,1,New South Wales,AUS,Australia,2.3806,http://linked.data.gov.au/dataset/asgsed3/SAL/10022,0.07189197443,0.0002325582
10030,Alexandria,1,New South Wales,AUS,Australia,3.537,http://linked.data.gov.au/dataset/asgsed3/SAL/10030,0.1028390391,0.00034477556
10031,Alfords Point,1,New South Wales,AUS,Australia,2.5665,http://linked.data.gov.au/dataset/asgsed3/SAL/10031,0.0827868662,0.00025041173
10036,Allambie Heights,1,New South Wales,AUS,Australia,6.6746,http://linked.data.gov.au/dataset/asgsed3/SAL/10036,0.130941438,0.0006496076
10038,Allawah,1,New South Wales,AUS,Australia,0.5837,http://linked.data.gov.au/dataset/asgsed3/SAL/10038,0.03985884169,5.69672e-05
10049,Ambarvale,1,New South Wales,AUS,Australia,2.848,http://linked.data.gov.au/dataset/asgsed3/SAL/10049,0.08008500444,0.00027818869
10060,Angus,1,New South Wales,AUS,Australia,6.0899,http://linked.data.gov.au/dataset/asgsed3/SAL/10060,0.12552903274,0.00059211468
10062,Annandale (NSW),1,New South Wales,AUS,Australia,1.4931,http://linked.data.gov.au/dataset/asgsed3/SAL/10062,0.05687058307,0.00014551432
10063,Annangrove,1,New South Wales,AUS,Australia,10.2464,http://linked.data.gov.au/dataset/asgsed3/SAL/10063,0.26206393488,0.00099596359
10073,Arcadia (NSW),1,New South Wales,AUS,Australia,22.4088,http://linked.data.gov.au/dataset/asgsed3/SAL/10073,0.29504456889,0.00217700586
10087,Arncliffe,1,New South Wales,AUS,Australia,2.9429,http://linked.data.gov.au/dataset/asgsed3/SAL/10087,0.10265039108,0.00028705341
10088,Arndell Park,1,New South Wales,AUS,Australia,2.0008,http://linked.data.gov.au/dataset/asgsed3/SAL/10088,0.07336607596,0.00019477458
10091,Artarmon,1,New South Wales,AUS,Australia,2.5348,http://linked.data.gov.au/dataset/asgsed3/SAL/10091,0.07124887272,0.00024688812
10094,Ashbury,1,New South Wales,AUS,Australia,1.0312,http://linked.data.gov.au/dataset/asgsed3/SAL/10094,0.0558629346,0.00010049048
10098,Ashcroft,1,New South Wales,AUS,Australia,1.1539,http://linked.data.gov.au/dataset/asgsed3/SAL/10098,0.05932366697,0.00011249407
10099,Ashfield (NSW),1,New South Wales,AUS,Australia,3.4144,http://linked.data.gov.au/dataset/asgsed3/SAL/10099,0.10131362102,0.00033270277
10104,Asquith,1,New South Wales,AUS,Australia,3.5033,http://linked.data.gov.au/dataset/asgsed3/SAL/10104,0.10533179021,0.00034066006
10107,Auburn (NSW),1,New South Wales,AUS,Australia,8.5637,http://linked.data.gov.au/dataset/asgsed3/SAL/10107,0.15358436289,0.00083429005
10110,Austral,1,New South Wales,AUS,Australia,17.6611,http://linked.data.gov.au/dataset/asgsed3/SAL/10110,0.19911197864,0.00172189887
10112,Avalon Beach,1,New South Wales,AUS,Australia,5.1524,http://linked.data.gov.au/dataset/asgsed3/SAL/10112,0.15963194346,0.00050062774
10133,Badgerys Creek,1,New South Wales,AUS,Australia,26.981,http://linked.data.gov.au/dataset/asgsed3/SAL/10133,0.2935344297,0.00262933692
10154,Balgowlah,1,New South Wales,AUS,Australia,1.959,http://linked.data.gov.au/dataset/asgsed3/SAL/10154,0.07228821683,0.0001907509
10155,Balgowlah Heights,1,New South Wales,AUS,Australia,1.6838,http://linked.data.gov.au/dataset/asgsed3/SAL/10155,0.06280277503,0.00016392783
10165,Balmain,1,New South Wales,AUS,Australia,1.5378,http://linked.data.gov.au/dataset/asgsed3/SAL/10165,0.0859491156,0.00014978352
10166,Balmain East,1,New South Wales,AUS,Australia,0.343,http://linked.data.gov.au/dataset/asgsed3/SAL/10166,0.03986301686,3.339787e-05
10178,Bangor (NSW),1,New South Wales,AUS,Australia,3.9221,http://linked.data.gov.au/dataset/asgsed3/SAL/10178,0.11505447972,0.00038284469
10179,Banksia,1,New South Wales,AUS,Australia,0.9568,http://linked.data.gov.au/dataset/asgsed3/SAL/10179,0.06149242861,9.333824e-05
10180,Banksmeadow,1,New South Wales,AUS,Australia,4.1582,http://linked.data.gov.au/dataset/asgsed3/SAL/10180,0.1292736558,0.00040557383
10181,Bankstown,1,New South Wales,AUS,Australia,6.3542,http://linked.data.gov.au/dataset/asgsed3/SAL/10181,0.16382188393,0.00061953191
10182,Bankstown Aerodrome,1,New South Wales,AUS,Australia,3.7302,http://linked.data.gov.au/dataset/asgsed3/SAL/10182,0.10402408281,0.00036368766
10192,Barangaroo,1,New South Wales,AUS,Australia,0.2227,http://linked.data.gov.au/dataset/asgsed3/SAL/10192,0.02741725624,2.16934e-05
10194,Barden Ridge,1,New South Wales,AUS,Australia,5.599,http://linked.data.gov.au/dataset/asgsed3/SAL/10194,0.11466912827,0.00054658208
10195,Bardia,1,New South Wales,AUS,Australia,2.1106,http://linked.data.gov.au/dataset/asgsed3/SAL/10195,0.0679679299,0.00020584631
10196,Bardwell Park,1,New South Wales,AUS,Australia,0.9557,http://linked.data.gov.au/dataset/asgsed3/SAL/10196,0.04862263156,9.319951e-05
10197,Bardwell Valley,1,New South Wales,AUS,Australia,0.6271,http://linked.data.gov.au/dataset/asgsed3/SAL/10197,0.05091454046,6.114691e-05
10224,Bass Hill,1,New South Wales,AUS,Australia,2.9586,http://linked.data.gov.au/dataset/asgsed3/SAL/10224,0.11187456669,0.00028832953
10233,Baulkham Hills,1,New South Wales,AUS,Australia,13.6507,http://linked.data.gov.au/dataset/asgsed3/SAL/10233,0.17381377974,0.00132837988
10237,Bayview (NSW),1,New South Wales,AUS,Australia,3.7612,http://linked.data.gov.au/dataset/asgsed3/SAL/10237,0.15548393738,0.00036561181
10238,Beacon Hill,1,New South Wales,AUS,Australia,2.8862,http://linked.data.gov.au/dataset/asgsed3/SAL/10238,0.10504115054,0.00028082927
10239,Beaconsfield (NSW),1,New South Wales,AUS,Australia,0.1515,http://linked.data.gov.au/dataset/asgsed3/SAL/10239,0.02066871101,1.476656e-05
10243,Beaumont Hills,1,New South Wales,AUS,Australia,3.1896,http://linked.data.gov.au/dataset/asgsed3/SAL/10243,0.08323745186,0.00031018541
10249,Beecroft,1,New South Wales,AUS,Australia,5.1174,http://linked.data.gov.au/dataset/asgsed3/SAL/10249,0.11693909588,0.00049794357
10257,Belfield,1,New South Wales,AUS,Australia,1.7826,http://linked.data.gov.au/dataset/asgsed3/SAL/10257,0.05748801939,0.00017377472
10263,Bella Vista,1,New South Wales,AUS,Australia,4.3891,http://linked.data.gov.au/dataset/asgsed3/SAL/10263,0.10729313569,0.00042701353
10271,Bellevue Hill,1,New South Wales,AUS,Australia,2.3731,http://linked.data.gov.au/dataset/asgsed3/SAL/10271,0.08309970677,0.00023124853
10279,Belmore,1,New South Wales,AUS,Australia,2.731,http://linked.data.gov.au/dataset/asgsed3/SAL/10279,0.07963750401,0.00026622636
10283,Belrose,1,New South Wales,AUS,Australia,13.533,http://linked.data.gov.au/dataset/asgsed3/SAL/10283,0.19494199751,0.00131638107
10299,Berala,1,New South Wales,AUS,Australia,2.1278,http://linked.data.gov.au/dataset/asgsed3/SAL/10299,0.07690266565,0.00020733985
10305,Berkshire Park,1,New South Wales,AUS,Australia,19.2666,http://linked.data.gov.au/dataset/asgsed3/SAL/10305,0.22891003009,0.00187307471
10308,Berowra,1,New South Wales,AUS,Australia,8.2969,http://linked.data.gov.au/dataset/asgsed3/SAL/10308,0.16582485666,0.00080620613
10309,Berowra Heights,1,New South Wales,AUS,Australia,8.0038,http://linked.data.gov.au/dataset/asgsed3/SAL/10309,0.1537531478,0.00077749169
10310,Berowra Waters,1,New South Wales,AUS,Australia,1.6838,http://linked.data.gov.au/dataset/asgsed3/SAL/10310,0.18567842971,0.00016348114
10318,Berrilee,1,New South Wales,AUS,Australia,12.0651,http://linked.data.gov.au/dataset/asgsed3/SAL/10318,0.18146091413,0.00117210529
10329,Beverley Park,1,New South Wales,AUS,Australia,1.0055,http://linked.data.gov.au/dataset/asgsed3/SAL/10329,0.04584598807,9.808203e-05
10330,Beverly Hills,1,New South Wales,AUS,Australia,3.023,http://linked.data.gov.au/dataset/asgsed3/SAL/10330,0.12490935898,0.00029485399
10333,Bexley,1,New South Wales,AUS,Australia,4.3754,http://linked.data.gov.au/dataset/asgsed3/SAL/10333,0.10917467738,0.0004267514
10334,Bexley North,1,New South Wales,AUS,Australia,1.2315,http://linked.data.gov.au/dataset/asgsed3/SAL/10334,0.05862697669,0.00012010435
10339,Bidwill (NSW),1,New South Wales,AUS,Australia,1.5129,http://linked.data.gov.au/dataset/asgsed3/SAL/10339,0.05559883044,0.00014716855
10349,Bilgola Beach,1,New South Wales,AUS,Australia,0.3298,http://linked.data.gov.au/dataset/asgsed3/SAL/10349,0.04423448349,3.206695e-05
10350,Bilgola Plateau,1,New South Wales,AUS,Australia,1.3922,http://linked.data.gov.au/dataset/asgsed3/SAL/10350,0.08093976313,0.00013532893
10373,Birchgrove,1,New South Wales,AUS,Australia,0.5858,http://linked.data.gov.au/dataset/asgsed3/SAL/10373,0.05600406256,5.707662e-05
10378,Birrong,1,New South Wales,AUS,Australia,1.1958,http://linked.data.gov.au/dataset/asgsed3/SAL/10378,0.04806896095,0.00011655734
10391,Blackett,1,New South Wales,AUS,Australia,1.0632,http://linked.data.gov.au/dataset/asgsed3/SAL/10391,0.0435096661,0.00010343944
10396,Blacktown,1,New South Wales,AUS,Australia,16.0646,http://linked.data.gov.au/dataset/asgsed3/SAL/10396,0.26518507548,0.00156363265
10399,Blair Athol (NSW),1,New South Wales,AUS,Australia,0.9009,http://linked.data.gov.au/dataset/asgsed3/SAL/10399,0.0528401986,8.799552e-05
10400,Blairmount,1,New South Wales,AUS,Australia,2.9291,http://linked.data.gov.au/dataset/asgsed3/SAL/10400,0.07797712918,0.00028599972
10402,Blakehurst,1,New South Wales,AUS,Australia,2.3046,http://linked.data.gov.au/dataset/asgsed3/SAL/10402,0.11625275785,0.00022484001
10462,Bondi,1,New South Wales,AUS,Australia,0.8647,http://linked.data.gov.au/dataset/asgsed3/SAL/10462,0.05215786548,8.434874e-05
10463,Bondi Beach,1,New South Wales,AUS,Australia,1.2192,http://linked.data.gov.au/dataset/asgsed3/SAL/10463,0.05909539221,0.00011881301
10465,Bondi Junction,1,New South Wales,AUS,Australia,1.0793,http://linked.data.gov.au/dataset/asgsed3/SAL/10465,0.05438569792,0.00010516724
10467,Bonnet Bay,1,New South Wales,AUS,Australia,1.1299,http://linked.data.gov.au/dataset/asgsed3/SAL/10467,0.05226978789,0.00011029035
10469,Bonnyrigg,1,New South Wales,AUS,Australia,3.0422,http://linked.data.gov.au/dataset/asgsed3/SAL/10469,0.07594493784,0.00029648663
10470,Bonnyrigg Heights,1,New South Wales,AUS,Australia,2.1537,http://linked.data.gov.au/dataset/asgsed3/SAL/10470,0.06368828349,0.00020987647
10513,Bossley Park,1,New South Wales,AUS,Australia,4.5359,http://linked.data.gov.au/dataset/asgsed3/SAL/10513,0.09546150508,0.00044189864
10515,Botany,1,New South Wales,AUS,Australia,3.2109,http://linked.data.gov.au/dataset/asgsed3/SAL/10515,0.07534297333,0.00031313554
10524,Bow Bowing,1,New South Wales,AUS,Australia,0.7633,http://linked.data.gov.au/dataset/asgsed3/SAL/10524,0.03961327071,7.451962e-05
10537,Box Hill (NSW),1,New South Wales,AUS,Australia,9.0582,http://linked.data.gov.au/dataset/asgsed3/SAL/10537,0.13776099364,0.00088044285
10540,Bradbury (NSW),1,New South Wales,AUS,Australia,3.5423,http://linked.data.gov.au/dataset/asgsed3/SAL/10540,0.10074141897,0.00034602503
10554,Breakfast Point,1,New South Wales,AUS,Australia,0.5243,http://linked.data.gov.au/dataset/asgsed3/SAL/10554,0.03305643094,5.108114e-05
10566,Brighton-Le-Sands,1,New South Wales,AUS,Australia,1.6004,http://linked.data.gov.au/dataset/asgsed3/SAL/10566,0.071835806,0.00015615963
10572,Bringelly,1,New South Wales,AUS,Australia,40.2134,http://linked.data.gov.au/dataset/asgsed3/SAL/10572,0.30505798653,0.0039216693
10591,Bronte,1,New South Wales,AUS,Australia,1.3314,http://linked.data.gov.au/dataset/asgsed3/SAL/10591,0.0570436003,0.00012973936
10596,Brooklyn (NSW),1,New South Wales,AUS,Australia,32.1375,http://linked.data.gov.au/dataset/asgsed3/SAL/10596,0.56917657287,0.00312120047
10598,Brookvale,1,New South Wales,AUS,Australia,2.1951,http://linked.data.gov.au/dataset/asgsed3/SAL/10598,0.09021193398,0.00021362303
10669,Bundeena,1,New South Wales,AUS,Australia,1.1786,http://linked.data.gov.au/dataset/asgsed3/SAL/10669,0.07412388323,0.00011511444
10679,Bungarribee,1,New South Wales,AUS,Australia,2.4576,http://linked.data.gov.au/dataset/asgsed3/SAL/10679,0.0951518876,0.00023922835
10702,Burraneer,1,New South Wales,AUS,Australia,1.4478,http://linked.data.gov.au/dataset/asgsed3/SAL/10702,0.08470851487,0.00014141189
10716,Burwood (NSW),1,New South Wales,AUS,Australia,2.4456,http://linked.data.gov.au/dataset/asgsed3/SAL/10716,0.07316352795,0.00023831602
10717,Burwood Heights,1,New South Wales,AUS,Australia,0.226,http://linked.data.gov.au/dataset/asgsed3/SAL/10717,0.02256381761,2.203251e-05
10718,Busby,1,New South Wales,AUS,Australia,1.2111,http://linked.data.gov.au/dataset/asgsed3/SAL/10718,0.0481410949,0.00011803627
10734,Cabarita (NSW),1,New South Wales,AUS,Australia,0.4997,http://linked.data.gov.au/dataset/asgsed3/SAL/10734,0.04372496419,4.869525e-05
10738,Cabramatta,1,New South Wales,AUS,Australia,5.0415,http://linked.data.gov.au/dataset/asgsed3/SAL/10738,0.15043114279,0.00049144684
10739,Cabramatta West,1,New South Wales,AUS,Australia,1.8278,http://linked.data.gov.au/dataset/asgsed3/SAL/10739,0.0585167305,0.00017818208
10741,Caddens,1,New South Wales,AUS,Australia,0.9906,http://linked.data.gov.au/dataset/asgsed3/SAL/10741,0.06219001301,9.643531e-05
10766,Cambridge Gardens,1,New South Wales,AUS,Australia,0.7727,http://linked.data.gov.au/dataset/asgsed3/SAL/10766,0.03547736757,7.518648e-05
10767,Cambridge Park,1,New South Wales,AUS,Australia,2.6154,http://linked.data.gov.au/dataset/asgsed3/SAL/10767,0.07090959139,0.00025447803
10769,Camden,1,New South Wales,AUS,Australia,4.6376,http://linked.data.gov.au/dataset/asgsed3/SAL/10769,0.11309565539,0.00045287589
10772,Camden South,1,New South Wales,AUS,Australia,4.2363,http://linked.data.gov.au/dataset/asgsed3/SAL/10772,0.08871518954,0.00041377146
10773,Camellia,1,New South Wales,AUS,Australia,0.5638,http://linked.data.gov.au/dataset/asgsed3/SAL/10773,0.04800553328,5.489913e-05
10777,Cammeray,1,New South Wales,AUS,Australia,1.5527,http://linked.data.gov.au/dataset/asgsed3/SAL/10777,0.07205504781,0.00015120808
10779,Campbelltown (NSW),1,New South Wales,AUS,Australia,11.1639,http://linked.data.gov.au/dataset/asgsed3/SAL/10779,0.27207464642,0.00109026568
10780,Camperdown (NSW),1,New South Wales,AUS,Australia,1.5031,http://linked.data.gov.au/dataset/asgsed3/SAL/10780,0.07065449971,0.0001464779
10781,Campsie,1,New South Wales,AUS,Australia,3.3734,http://linked.data.gov.au/dataset/asgsed3/SAL/10781,0.1063160161,0.00032889475
10784,Canada Bay,1,New South Wales,AUS,Australia,0.3224,http://linked.data.gov.au/dataset/asgsed3/SAL/10784,0.02576568864,3.141197e-05
10790,Canley Heights,1,New South Wales,AUS,Australia,2.6052,http://linked.data.gov.au/dataset/asgsed3/SAL/10790,0.07875586551,0.00025385458
10791,Canley Vale,1,New South Wales,AUS,Australia,2.8866,http://linked.data.gov.au/dataset/asgsed3/SAL/10791,0.1086012952,0.00028131022
10793,Canoelands,1,New South Wales,AUS,Australia,63.4478,http://linked.data.gov.au/dataset/asgsed3/SAL/10793,0.62667065293,0.00615622674
10796,Canterbury (NSW),1,New South Wales,AUS,Australia,1.9638,http://linked.data.gov.au/dataset/asgsed3/SAL/10796,0.07959099856,0.0001914121
10814,Caringbah,1,New South Wales,AUS,Australia,4.057,http://linked.data.gov.au/dataset/asgsed3/SAL/10814,0.09755041559,0.0003959927
10815,Caringbah South,1,New South Wales,AUS,Australia,4.092,http://linked.data.gov.au/dataset/asgsed3/SAL/10815,0.12854726961,0.0003995121
10817,Carlingford,1,New South Wales,AUS,Australia,8.5522,http://linked.data.gov.au/dataset/asgsed3/SAL/10817,0.22704771693,0.00083242098
10818,Carlton (NSW),1,New South Wales,AUS,Australia,2.0413,http://linked.data.gov.au/dataset/asgsed3/SAL/10818,0.0891631609,0.000199114
10819,Carnes Hill,1,New South Wales,AUS,Australia,1.3204,http://linked.data.gov.au/dataset/asgsed3/SAL/10819,0.05922097262,0.00012877675
10825,Carramar (NSW),1,New South Wales,AUS,Australia,1.0174,http://linked.data.gov.au/dataset/asgsed3/SAL/10825,0.05375200263,9.914322e-05
10836,Carss Park,1,New South Wales,AUS,Australia,0.6295,http://linked.data.gov.au/dataset/asgsed3/SAL/10836,0.0349946016,6.141204e-05
10837,Cartwright,1,New South Wales,AUS,Australia,0.9627,http://linked.data.gov.au/dataset/asgsed3/SAL/10837,0.07148145735,9.385384e-05
10844,Castle Cove,1,New South Wales,AUS,Australia,2.3428,http://linked.data.gov.au/dataset/asgsed3/SAL/10844,0.09508887302,0.00022806497
10846,Castle Hill (NSW),1,New South Wales,AUS,Australia,18.8102,http://linked.data.gov.au/dataset/asgsed3/SAL/10846,0.23548244101,0.00182990116
10848,Castlecrag,1,New South Wales,AUS,Australia,1.5058,http://linked.data.gov.au/dataset/asgsed3/SAL/10848,0.07521617836,0.00014662584
10849,Castlereagh,1,New South Wales,AUS,Australia,32.1444,http://linked.data.gov.au/dataset/asgsed3/SAL/10849,0.29615706673,0.0031255362
10851,Casula,1,New South Wales,AUS,Australia,7.072,http://linked.data.gov.au/dataset/asgsed3/SAL/10851,0.13748705595,0.00068973441
10855,Catherine Field,1,New South Wales,AUS,Australia,10.3145,http://linked.data.gov.au/dataset/asgsed3/SAL/10855,0.19001032555,0.00100644373
10858,Cattai,1,New South Wales,AUS,Australia,22.6977,http://linked.data.gov.au/dataset/asgsed3/SAL/10858,0.2619827505,0.00220344221
10862,Cawdor (NSW),1,New South Wales,AUS,Australia,28.3206,http://linked.data.gov.au/dataset/asgsed3/SAL/10862,0.27071556946,0.00276674462
10864,Cecil Hills,1,New South Wales,AUS,Australia,6.218,http://linked.data.gov.au/dataset/asgsed3/SAL/10864,0.11383914622,0.00060599872
10865,Cecil Park,1,New South Wales,AUS,Australia,10.9759,http://linked.data.gov.au/dataset/asgsed3/SAL/10865,0.20967382909,0.00106959822
10872,Centennial Park (NSW),1,New South Wales,AUS,Australia,2.2295,http://linked.data.gov.au/dataset/asgsed3/SAL/10872,0.0662742432,0.00021730548
10891,Chatswood,1,New South Wales,AUS,Australia,5.0097,http://linked.data.gov.au/dataset/asgsed3/SAL/10891,0.13499840497,0.00048776754
10892,Chatswood West,1,New South Wales,AUS,Australia,0.8099,http://linked.data.gov.au/dataset/asgsed3/SAL/10892,0.0515612109,7.8847e-05
10895,Cheltenham (NSW),1,New South Wales,AUS,Australia,1.6535,http://linked.data.gov.au/dataset/asgsed3/SAL/10895,0.06593595127,0.00016088951
10897,Cherrybrook,1,New South Wales,AUS,Australia,8.2603,http://linked.data.gov.au/dataset/asgsed3/SAL/10897,0.1461667831,0.00080345332
10898,Chester Hill,1,New South Wales,AUS,Australia,3.976,http://linked.data.gov.au/dataset/asgsed3/SAL/10898,0.13027960773,0.00038738444
10900,Chifley (NSW),1,New South Wales,AUS,Australia,1.0566,http://linked.data.gov.au/dataset/asgsed3/SAL/10900,0.05210931904,0.00010308921
10906,Chippendale,1,New South Wales,AUS,Australia,0.4642,http://linked.data.gov.au/dataset/asgsed3/SAL/10906,0.03351703201,4.520904e-05
10907,Chipping Norton,1,New South Wales,AUS,Australia,7.1332,http://linked.data.gov.au/dataset/asgsed3/SAL/10907,0.15471291437,0.00069544783
10909,Chiswick,1,New South Wales,AUS,Australia,0.5136,http://linked.data.gov.au/dataset/asgsed3/SAL/10909,0.03442179146,5.000358e-05
10913,Chullora,1,New South Wales,AUS,Australia,1.9887,http://linked.data.gov.au/dataset/asgsed3/SAL/10913,0.07385513692,0.00019382322
10914,Church Point,1,New South Wales,AUS,Australia,0.7212,http://linked.data.gov.au/dataset/asgsed3/SAL/10914,0.10380585051,7.007836e-05
10917,Claremont Meadows,1,New South Wales,AUS,Australia,3.0397,http://linked.data.gov.au/dataset/asgsed3/SAL/10917,0.08513393221,0.00029586692
10922,Clareville,1,New South Wales,AUS,Australia,0.5039,http://linked.data.gov.au/dataset/asgsed3/SAL/10922,0.05896251276,4.8965e-05
10923,Claymore,1,New South Wales,AUS,Australia,1.4204,http://linked.data.gov.au/dataset/asgsed3/SAL/10923,0.05013420512,0.000138678
10927,Clemton Park,1,New South Wales,AUS,Australia,0.3692,http://linked.data.gov.au/dataset/asgsed3/SAL/10927,0.03280088762,3.601576e-05
10934,Clontarf (NSW),1,New South Wales,AUS,Australia,0.8597,http://linked.data.gov.au/dataset/asgsed3/SAL/10934,0.06675237044,8.368721e-05
10937,Clovelly,1,New South Wales,AUS,Australia,0.7859,http://linked.data.gov.au/dataset/asgsed3/SAL/10937,0.05353791332,7.66331e-05
10940,Clyde (NSW),1,New South Wales,AUS,Australia,0.6718,http://linked.data.gov.au/dataset/asgsed3/SAL/10940,0.0387245736,6.541774e-05
10945,Coasters Retreat,1,New South Wales,AUS,Australia,0.1163,http://linked.data.gov.au/dataset/asgsed3/SAL/10945,0.02341364963,1.129449e-05
10953,Cobbitty,1,New South Wales,AUS,Australia,52.1638,http://linked.data.gov.au/dataset/asgsed3/SAL/10953,0.4601139152,0.00508985104
10965,Colebee,1,New South Wales,AUS,Australia,3.4761,http://linked.data.gov.au/dataset/asgsed3/SAL/10965,0.09085608723,0.0003381567
10970,Collaroy (NSW),1,New South Wales,AUS,Australia,2.6786,http://linked.data.gov.au/dataset/asgsed3/SAL/10970,0.10862150254,0.00026061158
10971,Collaroy Plateau,1,New South Wales,AUS,Australia,1.2202,http://linked.data.gov.au/dataset/asgsed3/SAL/10971,0.06265965082,0.00011869737
10987,Colyton,1,New South Wales,AUS,Australia,3.3644,http://linked.data.gov.au/dataset/asgsed3/SAL/10987,0.09098244807,0.00032750921
10996,Como (NSW),1,New South Wales,AUS,Australia,1.5975,http://linked.data.gov.au/dataset/asgsed3/SAL/10996,0.05950822717,0.00015588926
10999,Concord,1,New South Wales,AUS,Australia,5.0575,http://linked.data.gov.au/dataset/asgsed3/SAL/10999,0.10889814477,0.0004927016
11000,Concord West,1,New South Wales,AUS,Australia,2.5424,http://linked.data.gov.au/dataset/asgsed3/SAL/11000,0.10550884405,0.00024763487
11001,Condell Park,1,New South Wales,AUS,Australia,3.8948,http://linked.data.gov.au/dataset/asgsed3/SAL/11001,0.08940295665,0.00037980145
11013,Connells Point,1,New South Wales,AUS,Australia,1.0348,http://linked.data.gov.au/dataset/asgsed3/SAL/11013,0.05900774961,0.00010096321
11014,Constitution Hill,1,New South Wales,AUS,Australia,1.1883,http://linked.data.gov.au/dataset/asgsed3/SAL/11014,0.06192743238,0.00011569368
11015,Coogee (NSW),1,New South Wales,AUS,Australia,1.9175,http://linked.data.gov.au/dataset/asgsed3/SAL/11015,0.07724897304,0.00018702599
11086,Cottage Point,1,New South Wales,AUS,Australia,0.4048,http://linked.data.gov.au/dataset/asgsed3/SAL/11086,0.02965592448,3.932786e-05
11097,Cowan,1,New South Wales,AUS,Australia,31.897,http://linked.data.gov.au/dataset/asgsed3/SAL/11097,0.44227007238,0.0030972422
